date,type,amount,transaction,category,sub_category,team,event,invoice_number,transport
2/8/25,Expense,9,Chase: PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
2/9/25,Expense,15,Chase: Account Fee,Other Expenses,Bank Fees,"TSP, LLC",,,
2/18/25,Expense,60.45,Verizon Cellular,Utilities,Cellular Service,"TSP, LLC",,,
2/18/25,Expense,44.24,Verizon iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
2/20/25,Expense,16.04,Paddle.com,Other Expenses,Software,"TSP, LLC",,Monthly,
2/21/25,Expense,32.09,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
2/28/25,Expense,15,Chase Bank Fee,Other Expenses,Bank Fees,"TSP, LLC",,,
3/1/25,Expense,143.61,The Hartford Insurance,Insurance,Business Insurance,"TSP, LLC",,,
3/2/25,Expense,2.55,Google Suite,Other Expenses,Software,"TSP, LLC",,Monthly,
3/2/25,Expense,9,PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
3/6/25,Expense,9.99,Apple iCloud,Other Expenses,Software,"TSP, LLC",,Monthly,
3/7/25,Expense,37.58,Gainesville meal,Travel and Meals: Deductible Meals,Meals,Airborne Images,Gainesville,250101,
3/7/25,Expense,13.38,Microsoft 365,Other Expenses,Software,"TSP, LLC",,Monthly,
3/8/25,Expense,10.63,Gainesville Meal,Travel and Meals: Deductible Meals,Meals,Airborne Images,Gainesville,250101,
3/8/25,Expense,6,AWS - Database,Other Expenses,Software,"TSP, LLC",,Monthly,
3/8/25,Expense,9,Heroku,Other Expenses,Web Hosting,"TSP, LLC",,Monthly,
3/10/25,Expense,28.78,Gainesville Gas,Travel & Meals: Travel,Fuel,Airborne Images,Gainesville,250101,Rental Car
3/10/25,Expense,34.99,Gainesville - Indy checked bag,Travel & Meals: Travel,Airfare,Airborne Images,Gainesville,250101,
3/11/25,Expense,231.1,Gainesville car rental,Travel & Meals: Travel,Car Rental,Airborne Images,Gainesville,250101,Rental Car
3/11/25,Expense,35,Indy - Gainesville checked bag,Travel & Meals: Travel,Airfare,Airborne Images,Gainesville,250101,
3/11/25,Expense,30.42,Gainesville meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Gainesville,250101,
3/18/25,Expense,60.45,Verizon Cellular,Utilities,Cellular Service,"TSP, LLC",,,
3/18/25,Expense,44.24,Verizon iPad,Other Expenses,Office Equipment,"TSP, LLC",,,
3/19/25,Expense,35,Phoenix - Indy Checked bag,Travel & Meals: Travel,Airfare,Airborne Images,Phoenix,250102,
3/19/25,Expense,29.15,Phoenix Meal,Travel and Meals: Deductible Meals,Meals,Airborne Images,Phoenix,250102,
3/20/25,Expense,16.04,Paddle.com,Other Expenses,Software,"TSP, LLC",,Monthly,
3/21/25,Expense,30.6,Phoenix meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Phoenix,250102,
3/21/25,Expense,32.09,Adobe CC,Other Expenses,Software,"TSP, LLC",,Monthly,
3/25/25,Expense,433.67,Phoenix Rental Car,Travel & Meals: Travel,Car Rental,Airborne Images,Phoenix,250102,Rental Car
3/26/25,Expense,69.92,Phoenix Gas,Travel & Meals: Travel,Fuel,Airborne Images,Phoenix,250102,Rental Car
3/27/25,Expense,35,Phoenix - Indy checked bag,Travel & Meals: Travel,Airfare,Airborne Images,Phoenix,250102,
3/30/25,Expense,15,Chase Bank Fee,Other Expenses,Bank Fees,"TSP, LLC",,,
3/31/25,Expense,14.85,Pomona I meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Pomona I,250103,
4/1/25,Expense,868,Pomona I Hotel Receipt,Travel & Meals: Travel,Hotels,Airborne Images,Pomona I,250103,
4/1/25,Expense,21.07,Pomona I meals,Travel and Meals: Deductible Meals,Meals,Airborne Images,Pomona I,250103,
4/1/25,Expense,143.61,The Hartford Insurance,Insurance,Business Insurance,"TSP, LLC",,,
4/2/25,Expense,393.54,Pomona I Car Rental,Travel & Meals: Travel,Car Rental,Airborne Images,Pomona I,250103,Rental Car
4/2/25,Expense,2.55,Google Suite,Other Expenses,Software,"TSP, LLC",,Monthly,
4/2/25,Expense,9,PaymentTech,Other Expenses,Bank Fees,"TSP, LLC",,,
